iter	Logloss
0	0.6428767794
1	0.5982044186
2	0.5578878754
3	0.5091626454
4	0.4838156204
5	0.456062167
6	0.434796166
7	0.407418306
8	0.3883720772
9	0.3707311791
10	0.3580610958
11	0.3396865991
12	0.3233241256
13	0.3106153706
14	0.2996998329
15	0.2897568872
16	0.2814288858
17	0.2729625807
18	0.2621466116
19	0.256916862
20	0.2499284146
21	0.2436853385
22	0.2396105076
23	0.2360553138
24	0.2324296684
25	0.2286289629
26	0.2250418793
27	0.2225739558
28	0.2188282748
29	0.2146673272
30	0.2124939406
31	0.2104845634
32	0.2083005489
33	0.2053384028
34	0.2033056786
35	0.2005301892
36	0.1990209255
37	0.1976148357
38	0.1959303153
39	0.1943284782
40	0.192870589
41	0.1911535805
42	0.1889520898
43	0.18777117
44	0.1869684898
45	0.1859334526
46	0.1848642143
47	0.1839047295
48	0.182595739
49	0.1817944373
50	0.1808675012
51	0.1799892303
52	0.1786074541
53	0.1772286161
54	0.1763168353
55	0.17560474
56	0.1749777138
57	0.1741466855
58	0.1737414617
59	0.1732200505
60	0.1723490112
61	0.1719098087
62	0.1714143005
63	0.1708721746
64	0.1703742172
65	0.169463407
66	0.1685081883
67	0.1675752031
68	0.1671838599
69	0.1667881387
70	0.1661526927
71	0.1657693198
72	0.1654628636
73	0.1650797035
74	0.1645900368
75	0.1643480269
76	0.1638812513
77	0.1631113768
78	0.1628100174
79	0.1623608898
80	0.161616342
81	0.1612611464
82	0.1607242024
83	0.1605964201
84	0.1602607327
85	0.1599776962
86	0.1596868438
87	0.1595184457
88	0.1592313667
89	0.1588228483
90	0.1584269376
91	0.1580020029
92	0.1576833203
93	0.1573510181
94	0.1569020549
95	0.1567374617
96	0.1563079811
97	0.1554080786
98	0.1551138292
99	0.1547354369
100	0.1542411195
101	0.1538596512
102	0.1536196603
103	0.1534838011
104	0.1531952899
105	0.1527080433
106	0.1522285503
107	0.1518090981
108	0.1516663188
109	0.1514134661
110	0.1513438516
111	0.1511330772
112	0.1508296391
113	0.1506065654
114	0.1503445958
115	0.1499203492
116	0.1495811097
117	0.1493611971
118	0.1492044038
119	0.1488291198
120	0.1485941671
121	0.1482230778
122	0.1479353118
123	0.1478055232
124	0.1475885811
125	0.1472588432
126	0.1471325666
127	0.1469996811
128	0.1467595541
129	0.146559804
130	0.1464615073
131	0.1462086896
132	0.1458948606
133	0.1457563659
134	0.1455491975
135	0.1453838394
136	0.1452565134
137	0.1450070732
138	0.1448642054
139	0.1447610288
140	0.1445575532
141	0.1442593907
142	0.1440643255
143	0.1439173268
144	0.1437245907
145	0.1435147209
146	0.1432685184
147	0.1431067361
148	0.1429950846
149	0.1426802115
150	0.1424871942
151	0.1422180629
152	0.1421259053
153	0.1419219223
154	0.1417711389
155	0.141595145
156	0.1414133344
157	0.1412248271
158	0.1410452769
159	0.1408963257
160	0.140699625
161	0.1404979717
162	0.1404320844
163	0.1402890895
164	0.1401926405
165	0.139963632
166	0.1398554334
167	0.1397097716
168	0.1395673465
169	0.139318774
170	0.1390738335
171	0.1389822949
172	0.1387935915
173	0.1386117908
174	0.1383271502
175	0.1382908814
176	0.1381292241
177	0.1379329441
178	0.1378066257
179	0.1377440431
180	0.1376198112
181	0.1375641819
182	0.1374568912
183	0.1372972037
184	0.1371325558
185	0.1370074004
186	0.1368975922
187	0.1367897523
188	0.1365821607
189	0.1364423212
190	0.1362976862
191	0.1361582847
192	0.136033363
193	0.1359716101
194	0.1358333566
195	0.1357195096
196	0.1356064166
197	0.1355729436
198	0.1354648889
199	0.1352821155
200	0.1351284406
201	0.1350102941
202	0.1349060342
203	0.1347606479
204	0.1346646474
205	0.1344541833
206	0.1343225168
207	0.1342639023
208	0.1341063137
209	0.1339573882
210	0.1337969165
211	0.1336318634
212	0.1335180336
213	0.1334172002
214	0.1333365111
215	0.1332706863
216	0.1332137769
217	0.1331995715
218	0.1330560187
219	0.1328735097
220	0.1327465639
221	0.1326350806
222	0.1325073286
223	0.132390846
224	0.132335858
225	0.1322527862
226	0.1320016687
227	0.1316920077
228	0.1316201868
229	0.1315240925
230	0.1314584374
231	0.1314133714
232	0.1312918075
233	0.1312155182
234	0.131068754
235	0.1309839725
236	0.1309158716
237	0.1307054754
238	0.1305708533
239	0.130426005
240	0.1303265484
241	0.1302083413
242	0.1301613363
243	0.1299730387
244	0.129821186
245	0.1297222398
246	0.1295919736
247	0.1295342828
248	0.1294532509
249	0.129290083
250	0.1291892887
251	0.1291122153
252	0.128944606
253	0.1288535615
254	0.1287484094
255	0.1286156633
256	0.1285551724
257	0.1284840183
258	0.128419652
259	0.128292813
260	0.1282269912
261	0.1281041925
262	0.1279755917
263	0.1278460824
264	0.1277405682
265	0.127684929
266	0.1276468174
267	0.1276116477
268	0.1274903804
269	0.1274012011
270	0.1272622656
271	0.1271740688
272	0.1270685536
273	0.1268803342
274	0.1267450309
275	0.1266709145
276	0.1266448219
277	0.1266128541
278	0.1264548139
279	0.1263617052
280	0.1262541984
281	0.126225223
282	0.1261385732
283	0.126041308
284	0.1259515952
285	0.1257944529
286	0.1257404254
287	0.1256710333
288	0.1255657183
289	0.1255035173
290	0.125466655
291	0.1254149089
292	0.1253415767
293	0.1252936735
294	0.1252135303
295	0.1251249584
296	0.1250205108
297	0.125015944
298	0.1249270242
299	0.1249170942
300	0.1248236919
301	0.1246567643
302	0.1245794613
303	0.124519778
304	0.1244606051
305	0.1244223617
306	0.1243633645
307	0.1243545863
308	0.1242808049
309	0.1241899902
310	0.1241440215
311	0.1241136042
312	0.1239755471
313	0.123912943
314	0.1238272326
315	0.1237099672
316	0.1236475053
317	0.123611065
318	0.12354058
319	0.1234956898
320	0.1234384312
321	0.1233830466
322	0.1233084046
323	0.1232548394
324	0.1232463894
325	0.1231567418
326	0.1231036567
327	0.1230278557
328	0.1229243013
329	0.1228158068
330	0.1228057661
331	0.1227358746
332	0.1227006215
333	0.1225537722
334	0.1225057089
335	0.122496339
336	0.122434954
337	0.1223392715
338	0.1222521081
339	0.1221047134
340	0.1219635567
341	0.1219590157
342	0.1218639811
343	0.1218088597
344	0.1217590506
345	0.1217237757
346	0.1216632548
347	0.1215798834
348	0.121539091
349	0.1214460786
350	0.121372517
351	0.1213008206
352	0.1211694062
353	0.1211145969
354	0.1210579642
355	0.1209375284
356	0.1208834582
357	0.1208493226
358	0.1207365744
359	0.120664483
360	0.1205631662
361	0.1204980809
362	0.1204535146
363	0.1203825388
364	0.12030841
365	0.1203000893
366	0.120233824
367	0.1201048279
368	0.1200658909
369	0.1199100816
370	0.1198638442
371	0.1198559187
372	0.1197909779
373	0.119726177
374	0.1197187527
375	0.1196493422
376	0.119534592
377	0.1194832843
378	0.1193987891
379	0.1192982404
380	0.1192911168
381	0.1191690486
382	0.1191653935
383	0.1190735849
384	0.1189950807
385	0.1189339213
386	0.1188477734
387	0.118801386
388	0.1187399652
389	0.118691994
390	0.1186391082
391	0.118556266
392	0.1185248902
393	0.118517997
394	0.1184561952
395	0.118399599
396	0.1183555724
397	0.1183108147
398	0.118304389
399	0.1182350598
400	0.1181923123
401	0.1181218482
402	0.1180405182
403	0.117979833
404	0.1179222661
405	0.1178510298
406	0.1178449606
407	0.1177203634
408	0.1176453051
409	0.1175237669
410	0.1174404591
411	0.1173714647
412	0.1173282827
413	0.1172656755
414	0.1171553044
415	0.1170884236
416	0.1170339598
417	0.1169776481
